External ID,Suggested value,Score for this choice
__export__.survey_label_9787_b38229d8,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9788_3232a9f4,11. This course stimulated my interest,0
__export__.survey_label_9789_9697ffb7,12. This course intellectually challenged me,0
__export__.survey_label_9790_feb955c4,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9791_f4f7bdb1,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9792_5c9fea18,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9793_2b305130,1. The course objectives were clear,0
__export__.survey_label_9794_ea436013,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9795_b4f197df,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9796_89af5c46,4. Regular classes were conducted during the course,0
__export__.survey_label_9797_203b1353,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9798_37638724,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9799_05933de8,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9800_d855f465,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9801_45c85078,9. The instructor was responsive to the students queries,0
__export__.survey_label_9802_d11255dd,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9803_9dbc2135,11. This course stimulated my interest,0
__export__.survey_label_9804_7c576da9,12. This course intellectually challenged me,0
__export__.survey_label_9805_125e8e39,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9806_1cb59ce2,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9807_3204743e,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9808_4a1e80f2,Excellent,5
__export__.survey_label_9809_0993aab0,V Good,4
__export__.survey_label_9810_c9944c91,Good,3
__export__.survey_label_9811_d6aa1eb4,Avg,2
__export__.survey_label_9812_a7f1b54c,Poor,1
__export__.survey_label_9813_eac228bc,Excellent,5
__export__.survey_label_9814_a07f2acf,V Good,4
__export__.survey_label_9815_1118003b,Good,3
__export__.survey_label_9816_5cc95044,Avg,2
__export__.survey_label_9817_fbcf3498,Poor,1
__export__.survey_label_9818_d1e30947,1. The course objectives were clear,0
__export__.survey_label_9819_dfcf1675,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9820_7814db96,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9821_192fad60,4. Regular classes were conducted during the course,0
__export__.survey_label_9822_c7e1b073,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9823_a1727cfb,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9824_e83df6a4,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9825_8f1db04c,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9826_630bdd3a,9. The instructor was responsive to the students queries,0
__export__.survey_label_9827_cc8441a1,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9828_69dfa483,11. This course stimulated my interest,0
__export__.survey_label_9829_f0a85430,12. This course intellectually challenged me,0
__export__.survey_label_9830_c0157d26,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9831_32dd0d33,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9832_c413e7fa,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9833_740e5277,1. The course objectives were clear,0
__export__.survey_label_9834_729f1b6a,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9835_f42680ed,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9836_7366a874,4. Regular classes were conducted during the course,0
__export__.survey_label_9837_4ccfce61,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9838_91c8cd46,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9839_c99b13ec,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9840_3d747e55,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9841_2e25188a,9. The instructor was responsive to the students queries,0
__export__.survey_label_9842_e804299e,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9843_1a3db62b,11. This course stimulated my interest,0
__export__.survey_label_9844_dbf073e0,12. This course intellectually challenged me,0
__export__.survey_label_9845_ea89c007,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9846_09b2552f,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9847_53656c7e,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9848_4c67d3a7,Excellent,5
__export__.survey_label_9849_23b62a1e,V Good,4
__export__.survey_label_9850_768058f7,Good,3
__export__.survey_label_9851_e31b8d8b,Avg,2
__export__.survey_label_9852_4791d62f,Poor,1
__export__.survey_label_9853_b62ca3ee,Excellent,5
__export__.survey_label_9854_d19539f0,V Good,4
__export__.survey_label_9855_e22a9371,Good,3
__export__.survey_label_9856_a84e8eed,Avg,2
__export__.survey_label_9857_63b20188,Poor,1
__export__.survey_label_9858_d1b5e91f,1. The course objectives were clear,0
__export__.survey_label_9859_32980fe1,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9860_4b69e489,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9861_4f2ae293,4. Regular classes were conducted during the course,0
__export__.survey_label_9862_ae8dde85,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9863_03f017cc,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9864_7a448e9b,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9865_47421a50,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9866_d1e4261c,9. The instructor was responsive to the students queries,0
__export__.survey_label_9867_f8172a55,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9868_17195284,11. This course stimulated my interest,0
__export__.survey_label_9869_5ed25681,12. This course intellectually challenged me,0
__export__.survey_label_9870_a8dc1f0e,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9871_4c6f0ec1,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9872_053b6439,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9873_44c90454,1. The course objectives were clear,0
__export__.survey_label_9874_b8227d57,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9875_454a5dc9,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9876_cb9fd99a,4. Regular classes were conducted during the course,0
__export__.survey_label_9877_630d7dfa,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9878_ffeb2129,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9879_4ffb375f,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9880_b550cc70,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9881_b25f9c51,9. The instructor was responsive to the students queries,0
__export__.survey_label_9882_9a140194,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9883_68d28ceb,11. This course stimulated my interest,0
__export__.survey_label_9884_06d0dbed,12. This course intellectually challenged me,0
__export__.survey_label_9885_3c556f92,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9886_5e2a8759,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9887_9f15df9d,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9888_d484e801,Excellent,5
__export__.survey_label_9889_f21c3fdf,V Good,4
__export__.survey_label_9890_8ed5cd44,Good,3
__export__.survey_label_9891_b876b192,Avg,2
__export__.survey_label_9892_c1d1713c,Poor,1
__export__.survey_label_9893_453ddd08,Excellent,5
__export__.survey_label_9894_413d8c6f,V Good,4
__export__.survey_label_9895_502692b9,Good,3
__export__.survey_label_9896_dc91a1df,Avg,2
__export__.survey_label_9897_1a424042,Poor,1
__export__.survey_label_9898_4e678ca7,1. The course objectives were clear,0
__export__.survey_label_9899_7de79ca4,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9900_7ed67287,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9901_a9d37ea4,4. Regular classes were conducted during the course,0
__export__.survey_label_9902_91059f18,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9903_66a30261,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9904_247b363c,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9905_f9125e8d,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9906_9a421bed,9. The instructor was responsive to the students queries,0
__export__.survey_label_9907_6a425dad,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9908_d8f441df,11. This course stimulated my interest,0
__export__.survey_label_9909_c49580ae,12. This course intellectually challenged me,0
__export__.survey_label_9910_cca43ae6,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9911_8f33e42d,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9912_0dace3c8,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9913_5892cbf7,1. The course objectives were clear,0
__export__.survey_label_9914_15ffd0d3,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9915_c3174506,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9916_fce37d52,4. Regular classes were conducted during the course,0
__export__.survey_label_9917_128938f3,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9918_21e1b1f4,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9919_dc4f4ffa,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9920_1e813a1b,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9921_4a9f9bf4,9. The instructor was responsive to the students queries,0
__export__.survey_label_9922_2bcfff38,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9923_819f8ce1,11. This course stimulated my interest,0
__export__.survey_label_9924_bf53c6fa,12. This course intellectually challenged me,0
__export__.survey_label_9925_c8fb8303,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9926_903b423b,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9927_b4418856,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9928_a4b6ad34,Excellent,5
__export__.survey_label_9929_edb56225,V Good,4
__export__.survey_label_9930_cc221faf,Good,3
__export__.survey_label_9931_e7562e34,Avg,2
__export__.survey_label_9932_09cf20fd,Poor,1
__export__.survey_label_9933_33e4848f,Excellent,5
__export__.survey_label_9934_48fdf06c,V Good,4
__export__.survey_label_9935_214cd057,Good,3
__export__.survey_label_9936_fe834e8b,Avg,2
__export__.survey_label_9937_66b29f77,Poor,1
__export__.survey_label_9938_a1158d69,1. The course objectives were clear,0
__export__.survey_label_9939_86087256,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9940_03dcecf4,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9941_54ca9b67,4. Regular classes were conducted during the course,0
__export__.survey_label_9942_2cf6acb1,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9943_deeda3de,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9944_2664ff3b,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9945_a723a92e,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9946_6ab27dd7,9. The instructor was responsive to the students queries,0
__export__.survey_label_9947_b2018751,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9948_d5182254,11. This course stimulated my interest,0
__export__.survey_label_9949_3650a903,12. This course intellectually challenged me,0
__export__.survey_label_9950_e00dcc95,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9951_96cd4148,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9952_5f6bca55,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9953_e5c9c576,1. The course objectives were clear,0
__export__.survey_label_9954_2e0fc784,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9955_dc919b3a,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9956_cd5cf334,4. Regular classes were conducted during the course,0
__export__.survey_label_9957_9c548564,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9958_d436edcf,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9959_468ab05b,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9960_dedb3e93,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9961_04ed0a22,9. The instructor was responsive to the students queries,0
__export__.survey_label_9962_ccd733cb,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9963_4c6f20dd,11. This course stimulated my interest,0
__export__.survey_label_9964_790d5e8e,12. This course intellectually challenged me,0
__export__.survey_label_9965_ca5d8a4e,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9966_a992fee3,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9967_24042ec9,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9968_faa8b840,Excellent,5
__export__.survey_label_9969_15ca00ad,V Good,4
__export__.survey_label_9970_7b0f5aac,Good,3
__export__.survey_label_9971_9a2448c4,Avg,2
__export__.survey_label_9972_8612b724,Poor,1
__export__.survey_label_9973_52c0b8b0,Excellent,5
__export__.survey_label_9974_c24b821f,V Good,4
__export__.survey_label_9975_11836aac,Good,3
__export__.survey_label_9976_524a3674,Avg,2
__export__.survey_label_9977_16d64db6,Poor,1
__export__.survey_label_9978_c0b6a396,1. The course objectives were clear,0
__export__.survey_label_9979_f8bf7cd3,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9980_cfda9f2b,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9981_6cc2303c,4. Regular classes were conducted during the course,0
__export__.survey_label_9982_83506ff5,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9983_b4897775,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9984_4b39e86c,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9985_d0a8730d,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9986_fcb2480d,9. The instructor was responsive to the students queries,0
__export__.survey_label_9987_d9deb0dc,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9988_08f251ff,11. This course stimulated my interest,0
__export__.survey_label_9989_166c2443,12. This course intellectually challenged me,0
__export__.survey_label_9990_9037ba01,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9991_a2007b20,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9992_e2afe6ff,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9993_5ee519b6,1. The course objectives were clear,0
__export__.survey_label_9994_e2cc255b,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9995_284103e7,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9996_ba07ea6b,4. Regular classes were conducted during the course,0
__export__.survey_label_9997_f5cc9dab,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9998_e849cd0b,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9999_009787e9,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_10000_e45eeb70,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_10001_2df56b64,9. The instructor was responsive to the students queries,0
__export__.survey_label_10002_3622bd24,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_10003_9c463643,11. This course stimulated my interest,0
__export__.survey_label_10004_279cd1bf,12. This course intellectually challenged me,0
__export__.survey_label_10005_e9336c85,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_10006_c52bedfb,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_10007_1530b736,15. The assessments and their feedback were timely shared,0
__export__.survey_label_10008_a74451f4,Excellent,5
__export__.survey_label_10009_fb97fb45,V Good,4
__export__.survey_label_10010_5abb6520,Good,3
__export__.survey_label_10011_a02ae337,Avg,2
__export__.survey_label_10012_587cf88a,Poor,1
__export__.survey_label_10013_c9e4140e,Excellent,5
__export__.survey_label_10014_e03ae64d,V Good,4
__export__.survey_label_10015_3d030386,Good,3
__export__.survey_label_10016_1a7ec9e3,Avg,2
__export__.survey_label_10017_21436b55,Poor,1
__export__.survey_label_10018_bcead920,1. The course objectives were clear,0
__export__.survey_label_10019_65663627,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_10020_1497f758,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_10021_5267333e,4. Regular classes were conducted during the course,0
__export__.survey_label_10022_05612e26,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_10023_927538dc,6. The course increased my knowledge in the subject area,0
__export__.survey_label_10024_7d3de7e0,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_10025_5f85e4b0,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_10026_f41004f0,9. The instructor was responsive to the students queries,0
__export__.survey_label_10027_d475d52f,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_10028_55ffab0d,11. This course stimulated my interest,0
__export__.survey_label_10029_3b7985b9,12. This course intellectually challenged me,0
__export__.survey_label_10030_dfdf0dbb,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_10031_2d4968a6,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_10032_13ac6dd1,15. The assessments and their feedback were timely shared,0
__export__.survey_label_10033_b86ca434,1. The course objectives were clear,0
__export__.survey_label_10034_892a35cd,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_10035_9c133acf,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_10036_80391dba,4. Regular classes were conducted during the course,0
__export__.survey_label_10037_80df5adb,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_10038_014f2a19,6. The course increased my knowledge in the subject area,0
__export__.survey_label_10039_7b66c5bc,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_10040_951711e5,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_10041_7410c1ac,9. The instructor was responsive to the students queries,0
__export__.survey_label_10042_d6b791bc,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_10043_4b9d6029,11. This course stimulated my interest,0
__export__.survey_label_10044_71b1772a,12. This course intellectually challenged me,0
__export__.survey_label_10045_784d138f,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_10046_7d10c0bb,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_10047_d84e4e78,15. The assessments and their feedback were timely shared,0
__export__.survey_label_10048_fcdaf6c7,Excellent,5
__export__.survey_label_10049_88222384,V Good,4
__export__.survey_label_10050_46f7b533,Good,3
__export__.survey_label_10051_97bb7396,Avg,2
__export__.survey_label_10052_d3d151b9,Poor,1
__export__.survey_label_10053_bf75b1fa,Excellent,5
__export__.survey_label_10054_41c04da5,V Good,4
__export__.survey_label_10055_3338b4f8,Good,3
__export__.survey_label_10056_de5fdd10,Avg,2
__export__.survey_label_10057_e6e76a3b,Poor,1
__export__.survey_label_10058_740ef46e,1. The course objectives were clear,0
__export__.survey_label_10059_89f8c3b2,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_10060_6c697441,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_10061_55295cd8,4. Regular classes were conducted during the course,0
__export__.survey_label_10062_53061eff,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_10063_40a9cd9e,6. The course increased my knowledge in the subject area,0
__export__.survey_label_10064_d7fa49e2,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_10065_05e6ce20,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_10066_8d68e131,9. The instructor was responsive to the students queries,0
__export__.survey_label_10067_f1c3cada,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_10068_fd61a80d,11. This course stimulated my interest,0
__export__.survey_label_10069_4fa1ebe1,12. This course intellectually challenged me,0
__export__.survey_label_10070_2e5ac3e3,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_10071_05a6bbce,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_10072_f5d4e5d7,15. The assessments and their feedback were timely shared,0
__export__.survey_label_10073_bc2b624c,1. The course objectives were clear,0
__export__.survey_label_10074_c9078253,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_10075_358e05fa,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_10076_2c0abc5f,4. Regular classes were conducted during the course,0
__export__.survey_label_10077_07091bba,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_10078_18fd74c4,6. The course increased my knowledge in the subject area,0
__export__.survey_label_10079_853a1db9,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_10080_67689161,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_10081_7b14ae09,9. The instructor was responsive to the students queries,0
__export__.survey_label_10082_dfe4d916,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_10083_f1ade70a,11. This course stimulated my interest,0
__export__.survey_label_10084_d6b83a60,12. This course intellectually challenged me,0
__export__.survey_label_10085_ade1f9c1,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_10086_5219cecb,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_10087_9862b228,15. The assessments and their feedback were timely shared,0
__export__.survey_label_10088_079f2c07,Excellent,5
__export__.survey_label_10089_db37d242,V Good,4
__export__.survey_label_10090_c9397fe5,Good,3
__export__.survey_label_10091_5cc4eb67,Avg,2
__export__.survey_label_10092_9e74d7e4,Poor,1
__export__.survey_label_10093_2c38d863,Excellent,5
__export__.survey_label_10094_9f0796a1,V Good,4
__export__.survey_label_10095_88ac83f3,Good,3
__export__.survey_label_10096_d32fa5e8,Avg,2
__export__.survey_label_10097_576089c4,Poor,1
__export__.survey_label_10098_d17716d4,1. The course objectives were clear,0
__export__.survey_label_10099_93bca218,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_10100_7880f08e,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_10101_2655af2c,4. Regular classes were conducted during the course,0
__export__.survey_label_10102_c3eeeae5,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_10103_b94efaed,6. The course increased my knowledge in the subject area,0
__export__.survey_label_10104_83fdb22c,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_10105_cc8705b5,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_10106_6ab47c12,9. The instructor was responsive to the students queries,0
__export__.survey_label_10107_dcdd9cdb,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_10108_1ab84b69,11. This course stimulated my interest,0
__export__.survey_label_10109_06694816,12. This course intellectually challenged me,0
__export__.survey_label_10110_27ac8309,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_10111_b69616ab,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_10112_7060dd2a,15. The assessments and their feedback were timely shared,0
__export__.survey_label_10113_e06370fc,1. The course objectives were clear,0
__export__.survey_label_10114_fdaa8e12,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_10115_77441da9,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_10116_02a92adf,4. Regular classes were conducted during the course,0
__export__.survey_label_10117_86ccee30,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_10118_bc460f9a,6. The course increased my knowledge in the subject area,0
__export__.survey_label_10119_03792d36,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_10120_a7a2debb,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_10121_e5a1a5de,9. The instructor was responsive to the students queries,0
__export__.survey_label_10122_fc5f9cff,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_10123_4bf7f4d1,11. This course stimulated my interest,0
__export__.survey_label_10124_3ab33336,12. This course intellectually challenged me,0
__export__.survey_label_10125_3ebddbca,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_10126_d1449183,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_10127_baa1127e,15. The assessments and their feedback were timely shared,0
__export__.survey_label_10128_eb332dd9,Excellent,5
__export__.survey_label_10129_9faa4987,V Good,4
__export__.survey_label_10130_11459cc9,Good,3
__export__.survey_label_10131_dd180deb,Avg,2
__export__.survey_label_10132_4243950f,Poor,1
__export__.survey_label_10133_9358497b,Excellent,5
__export__.survey_label_10134_0cf9c066,V Good,4
__export__.survey_label_10135_ba56520c,Good,3
__export__.survey_label_10136_e34bc571,Avg,2
__export__.survey_label_10137_b3691a1e,Poor,1
__export__.survey_label_10138_104917f0,1. The course objectives were clear,0
__export__.survey_label_10139_6f938650,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_10140_b38ea372,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_10141_dba3730e,4. Regular classes were conducted during the course,0
__export__.survey_label_10142_fbcc732f,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_10143_226f658e,6. The course increased my knowledge in the subject area,0
__export__.survey_label_10144_a873392e,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_10145_11db5ce3,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_10146_66a2da14,9. The instructor was responsive to the students queries,0
__export__.survey_label_10147_0d4c2eb0,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_10148_94fe2d8e,11. This course stimulated my interest,0
__export__.survey_label_10149_4e1eb8ea,12. This course intellectually challenged me,0
__export__.survey_label_10150_f23089ee,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_10151_b106f406,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_10152_aadd679d,15. The assessments and their feedback were timely shared,0
__export__.survey_label_10153_a85d8613,1. The course objectives were clear,0
__export__.survey_label_10154_bfdcb8a9,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_10155_85fc281f,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_10156_3af11c9b,4. Regular classes were conducted during the course,0
__export__.survey_label_10157_f5e12a38,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_10158_cc1f965f,6. The course increased my knowledge in the subject area,0
__export__.survey_label_10159_f252a465,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_10160_7c72105c,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_10161_a8ca7d0b,9. The instructor was responsive to the students queries,0
__export__.survey_label_10162_d49a6608,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_10163_b9600a35,11. This course stimulated my interest,0
__export__.survey_label_10164_51431736,12. This course intellectually challenged me,0
__export__.survey_label_10165_cee6b92c,13. The learning resources regarding the course were adequate and appropriate in the library,0
